CQG,Native
C.US.BIBX,ID
C.US.BPE,GBU
C.US.BXA,BA
C.US.CAE,UCD
C.US.CCB,V6
C.US.CCE,CC
C.US.CLE,CL
C.US.CLE1,1CL
C.US.CLE2,2CL
C.US.CLE3,3CL
C.US.CLE4,4CL
C.US.CLE5,5CL
C.US.CPE,HG
C.US.CPE1,1HG
C.US.CPE2,2HG
C.US.CPE3,3HG
C.US.CPE4,4HG
C.US.CPE5,5HG
C.US.CSC,CHE
C.US.CTE,CT
C.US.CTE1,1CT
C.US.CTE2,2CT
C.US.CTE3,3CT
C.US.CTE4,4CT
C.US.CTE5,5CT
C.US.DAE,AUA
C.US.DB,FGBL
C.US.DBO1,1RX
C.US.DBO2,2RX
C.US.DBO3,3RX
C.US.DBO4,4RX
C.US.DBO5,5RX
C.US.DFA,DJI
C.US.DFA1,1DJI
C.US.DFA2,2DJI
C.US.DFA4,4DJI
C.US.DG,FGBS
C.US.DINRO,IRD
C.US.DL,FGBM
C.US.DSX,FESX
C.US.DXE,DX
C.US.E01,1K
C.US.E02,2K
C.US.E03,3K
C.US.ENQ,NQ
C.US.EP,ES
C.US.EP11,IWWW1
C.US.EP12,IWWW2
C.US.EP13,IWWW3
C.US.EP14,IWWW4
C.US.EP15,IWWW5
C.US.EP31,ESW1
C.US.EP32,ESW2
C.US.EP33,ESW3
C.US.EP34,ESW4
C.US.EP35,ESW5
C.US.ET,WBS
C.US.EUE,EUU
C.US.EV,SCA
C.US.EW,EW
C.US.EW1,1E
C.US.EW2,2E
C.US.EW3,3E
C.US.EW4,4E
C.US.FBR,VE
C.US.FEF,FEF
C.US.FEU,FP
C.US.FEXD,DED
C.US.FGBX,UB
C.US.FRI,VE
C.US.FVA,ZF
C.US.FVA1,1I
C.US.FVA2,2I
C.US.FVA3,3I
C.US.FVA4,4I
C.US.FVA5,5I
C.US.GCE,GC
C.US.GCE1,GC
C.US.GCE2,GC
C.US.GCE3,GC
C.US.GCE4,GC
C.US.GCE5,GC
C.US.GDC,DA
C.US.GDK,KV
C.US.GDY,DRW
C.US.GE,ED
C.US.GE0,0E
C.US.GE2,2E
C.US.GE3,3E
C.US.GE4,4E
C.US.GE5,5E
C.US.GF,GF
C.US.GLE,LE
C.US.GLE1,1LC
C.US.GLE2,2LC
C.US.GLE3,3LC
C.US.GLE4,4LC
C.US.GLE5,5LC
C.US.GNF,LE
C.US.HBS,IR
C.US.HE,HE
C.US.HEA,BEA
C.US.HEE,BEE
C.US.HHI,HC
C.US.HOE,HO
C.US.HSI,HI
C.US.HTS,YM
C.US.HXS,XM
C.US.ISPO,FTSEMIB
C.US.IW,IWT
C.US.JEY,YE
C.US.JGB,JB
C.US.JM,TMI
C.US.JNK,NK
C.US.JNKY1,1NK
C.US.JNKY3,3NK
C.US.JNKY4,4NK
C.US.JNKY5,5NK
C.US.JTPX,TP
C.US.JYE,JPU
C.US.KCE,KC
C.US.KCE1,1KC
C.US.KCE2,2KC
C.US.KCE3,3KC
C.US.KCE4,4KC
C.US.KCE5,5KC
C.US.KOS,KM
C.US.KWE,KW
C.US.KWE1,1KW
C.US.KWE2,2KW
C.US.KWE3,3KW
C.US.KWE4,4KW
C.US.KWE5,5KW
C.US.KWED,KW
C.US.LBS,LBS
C.US.LRC,DF
C.US.MHI,HU
C.US.MKP,MKP
C.US.MWE,MW
C.US.MX6,PE
C.US.NBB,ZB
C.US.NE6,6N
C.US.NGE,NG
C.US.NGE1,1NG
C.US.NGE2,2NG
C.US.NGE3,3NG
C.US.NGE4,4NG
C.US.NGE5,5NG
C.US.NKD,NKD
C.US.NQG,QG
C.US.NQM,QM
C.US.NSM,PMA
C.US.OCPO,KO
C.US.OES2,WSX5EB
C.US.OJE,JO
C.US.OKLI,IK
C.US.PAE,PA
C.US.PIL,JFCE
C.US.PLE,PL
C.US.QEA,ER
C.US.QFA,Z
C.US.QGA,G 
C.US.QN1,NQ
C.US.QN2,NQ
C.US.QN3,NQ
C.US.QN4,NQ
C.US.QN5,5O
C.US.QNA,ES
C.US.QO,BRN
C.US.QP,G
C.US.QS,1QP
C.US.QS2,2QP
C.US.QS3,3QP
C.US.QS4,4QP
C.US.QS5,5QP
C.US.QSA,L 
C.US.QU,FN
C.US.QW,QW
C.US.RBE,RB
C.US.RC,RR
C.US.RTM,RME
C.US.RTY,RTY
C.US.RTY1,RUW1
C.US.RTY2,RUW
C.US.RTY3,RUW3
C.US.RTY4,RUW4
C.US.RU6,UR
C.US.SA6,RA
C.US.SBE,SB
C.US.SBE1,1SB
C.US.SBE2,2SB
C.US.SBE3,3SB
C.US.SBE4,4SB
C.US.SBE5,5SB
C.US.SET50,SET50
C.US.SFA,SWB
C.US.SIE,SI
C.US.SIE1,SI
C.US.SIE2,SI
C.US.SIE3,3SI
C.US.SIE4,SI
C.US.SIE5,SI
C.US.TFE,RTA
C.US.TNA,UXY
C.US.TNA1,1TN
C.US.TNA2,2TN
C.US.TNA3,3TN
C.US.TNA4,4TN
C.US.TNA5,5TN
C.US.TUA,ZT
C.US.TUA1,1W
C.US.TUA2,2W
C.US.TUA3,3W
C.US.TUA4,4W
C.US.TUA5,5W
C.US.TYA,ZN
C.US.TYA1,1M
C.US.TYA2,2M
C.US.TYA3,3M
C.US.TYA4,4M
C.US.TYA5,5M
C.US.ULA,WN
C.US.ULA1,1J
C.US.ULA2,2J
C.US.ULA3,3J
C.US.ULA4,4J
C.US.ULA5,5J
C.US.USA,ZB
C.US.USA1,1C
C.US.USA2,2C
C.US.USA3,3C
C.US.USA4,4C
C.US.USA5,5C
C.US.WAW,WHI
C.US.WMP,MMR
C.US.WR,RS
C.US.YG,XG
C.US.YI,YS
C.US.YM,YM
C.US.YMD1,1DOW5
C.US.YMD2,1DOW5
C.US.YMD4,1DOW5
C.US.ZA,TW
C.US.ZCE,ZC
C.US.ZCED,ODC
C.US.ZG,QZ
C.US.ZLE,ZL
C.US.ZLE1,1EF
C.US.ZLE2,2EF
C.US.ZLE3,3EF
C.US.ZLE4,4EF
C.US.ZLE5,5EF
C.US.ZLED,EF
C.US.ZME,ZM
C.US.ZME1,1SM
C.US.ZME2,2SM
C.US.ZME3,3SM
C.US.ZME4,4SM
C.US.ZME5,5SM
C.US.ZMED,SM
C.US.ZN,NI
C.US.ZOE,O
C.US.ZQE,FF
C.US.ZRE,RR
C.US.ZSE,ZS
C.US.ZSE1,1S
C.US.ZSE2,2S
C.US.ZSE3,3S
C.US.ZSE4,4S
C.US.ZSE5,5S
C.US.ZSED,ODS
C.US.ZWA,ZW
C.US.ZWA1,1W
C.US.ZWA2,2W
C.US.ZWA3,3W
C.US.ZWA4,4W
C.US.ZWA5,5W
C.US.ZWAD,ODW
F.CN.I,IOE
F.US.ACF,IAC
F.US.ACM,CM
F.US.AFB,FY
F.US.ALSI,TOP40
F.US.AMF,AMA
F.US.AP,XP
F.US.AWM,MV
F.US.BBW,WBA
F.US.BIBX,ID
F.US.BP6,6B
F.US.BR6,6L
F.US.BRL,UUB
F.US.BTC,BTC
F.US.BTR,BTD
F.US.BXA,BA
F.US.C4F,SXC
F.US.C5F,SYC
F.US.CA6,6C
F.US.CB,CN
F.US.CCB,V6
F.US.CCE,CC
F.US.CCET,CCT
F.US.CCF,CCI
F.US.CIF,SMI
F.US.CJ,FCO
F.US.CLE,CL
F.US.CLT,YG
F.US.CN,CN
F.US.CNH,CHY
F.US.CPE,HG
F.US.CPO,PLO
F.US.CPT,TAY
F.US.CRF,CFR
F.US.CSC,CHE
F.US.CSX,VH
F.US.CTE,CT
F.US.CTET,CTT
F.US.CUS,UCA
F.US.DA6,6A
F.US.DB,FGBL
F.US.DBSX,SED
F.US.DD,FDAX
F.US.DF,DJI
F.US.DG,FGBS
F.US.DGO,DG
F.US.DINR,DINR
F.US.DL,FGBM
F.US.DSX,FESX
F.US.DTX,VH
F.US.DXE,DX
F.US.EAD,EA
F.US.EB,RP
F.US.EDA,GE
F.US.EDAB2,BNDL2
F.US.EEU,EE
F.US.EINR,SIR
F.US.EJY,JE
F.US.EMD,FA
F.US.ENC,NL
F.US.ENQ,NQ
F.US.ENZD,NV
F.US.EP,ES
F.US.ER,EN
F.US.ESB,CA
F.US.E,WBS
F.US.ETT,ENT
F.US.EU6,6E
F.US.F1T,D1
F.US.F2T,D2
F.US.F4T,D4
F.US.F5T,D5
F.US.FB,INC
F.US.FBR,VE
F.US.FBTM,MFB
F.US.FBTP,IK
F.US.FBTS,BTS
F.US.FBUT,BUT
F.US.FDXM,FDXM
F.US.FEF,FEF
F.US.FEPP,FEP
F.US.FEU,FP
F.US.FEXD,DED
F.US.FGBX,UB
F.US.FGLD,FGD
F.US.FHOG,FHO
F.US.FKLI,IK
F.US.FM7I,FMC
F.US.FMX,XMC
F.US.FMZA,ZWL
F.US.FOAM,BTA
F.US.FOAT,OAT
F.US.FPIG,FPI
F.US.FPIGS1,PIG
F.US.FPKO,KGA
F.US.FPOL,FPO
F.US.FR,RF
F.US.FRI,VE
F.US.FSMP,FSP
F.US.FTI,EO
F.US.FUPO,MDS
F.US.FUS,UR
F.US.FVA,ZF
F.US.FVS,FVS
F.US.FWHY,FHY
F.US.FXXE,SXI
F.US.FXXP,SXO
F.US.GB10,TMD
F.US.GB50,TGB
F.US.GCE,GC
F.US.GCK,KGC
F.US.GCN,JC
F.US.GCT,TAS
F.US.GDC,DA
F.US.GDK,KV
F.US.GDY,DRW
F.US.GF,GF
F.US.GFT,TFE
F.US.GI,GI
F.US.GLE,LE
F.US.GMCD,MCD
F.US.GNF,LE
F.US.GOF,PGI
F.US.GPLN,PP
F.US.GSB,JS
F.US.GWE,FN
F.US.H,WX
F.US.H3B,HR
F.US.HBS,IR
F.US.HE,HE
F.US.HEA,BEA
F.US.HED,BXB
F.US.HEE,BEE
F.US.HEH,BXE
